="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",=".0205607",=".0220885",="",=".0133026",=".0115342",=""
="state_SA",="-.1424768",="-.1135064",="",="-.0520965",="-.0429037",=""
="",=".0166476",=".0202214",="",=".0182522",=".0124883",=""
="state_NT",=".0836608",=".0808859",="",="-.028592",="-.0034019",=""
="",=".0773323",=".0993552",="",=".0808136",=".0539659",=""
="state_TAS",="-.1688259",="-.132088",="",="-.0886042",="-.0676581",=""
="",=".0343865",=".0278878",="",=".0211443",=".01785",=""
="state_ACT",=".1369388",=".0966473",="",=".0642866",=".0580214",=""
="",=".0410061",=".0438419",="",=".0218888",=".02289",=""
="shiftwork_yes",=".0682391",=".1405502",="",=".0292516",=".0784837",=""
="",=".0125554",=".0155732",="",=".0107704",=".0096964",=""
="parttime",="-.0670578",="-.036527",="-.0698719",="-.0116257",=".0147549",="-.00987"
="",=".022205",=".0212567",=".024239",=".0113055",=".0081034",=".0116196"
="long_hours",=".0318401",=".0158412",="",=".0072491",="-.0376523",=""
="",=".0135376",=".0105002",="",=".0131256",=".0109648",=""
="casual",="-.0092769",=".0263182",="-.0064167",="-.0042833",=".0383855",="-.0206047"
="",=".0169658",=".0160948",=".0199002",=".0123512",=".0090121",=".0121034"
="tenure",=".0050256",=".0044893",=".0053094",=".0034319",=".0021377",=".005146"
="",=".0008239",=".0007797",=".0008194",=".0005708",=".0006303",=".0007858"
="2.wave",="-.0207712",="-.0273265",="",="-.010724",="-.0045055",=""
="",=".0171165",=".0173906",="",=".0157918",=".0145248",=""
="3.wave",=".0117051",=".0088033",="",=".0171039",=".0164433",=""
="",=".0176449",=".0190326",="",=".0157768",=".0156294",=""
="4.wave",=".034801",=".036404",="",=".0224961",=".0304949",=""
="",=".0172448",=".0181373",="",=".0166005",=".016208",=""
="5.wave",=".0380075",=".0448935",="",=".0566279",=".0531221",=""
="",=".0174786",=".0189739",="",=".0161187",=".0180844",=""
="6.wave",=".0712478",=".0716666",="",=".05425",=".0562112",=""
="",=".020727",=".0182147",="",=".0164768",=".0145583",=""
="7.wave",=".0962749",=".1033326",="",=".0881879",=".0823182",=""
="",=".0240435",=".0205706",="",=".0173424",=".0138655",=""
="8.wave",=".1020305",=".1048266",="",=".0959114",=".0904216",=""
="",=".0224273",=".021916",="",=".0148056",=".0147387",=""
="9.wave",=".1067275",=".1016768",="",=".1231033",=".1179122",=""
