="",="(1)",="(2)",="(3)",="(4)"
="Professional",="-0.049***",="",="-0.072***",=""
="",="(0.018)",="",="(0.016)",=""
="Community / Service",="-0.311***",="",="-0.410***",=""
="",="(0.029)",="",="(0.018)",=""
="Sales",="-0.392***",="",="-0.449***",=""
="",="(0.028)",="",="(0.020)",=""
="Labourer",="-0.411***",="",="-0.484***",=""
="",="(0.025)",="",="(0.024)",=""
="Children",="",="0.050***",="",="-0.004"
="",="",="(0.015)",="",="(0.011)"
="Constant",="3.217***",="2.953***",="3.275***",="2.907***"
="",="(0.032)",="(0.025)",="(0.025)",="(0.021)"
="q5",="",="",="",=""
="Public Sector",="-0.089***",="-0.101***",="0.021*",="0.041***"
="",="(0.019)",="(0.018)",="(0.013)",="(0.015)"
="Experience",="0.027***",="0.032***",="0.021***",="0.026***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)"
="Experience^{2}",="-0.000***",="-0.001***",="-0.000***",="-0.000***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="University",="0.296***",="0.457***",="0.202***",="0.407***"
="",="(0.027)",="(0.026)",="(0.019)",="(0.019)"
="Diploma / Cert",="0.052***",="0.070***",="0.043**",="0.085***"
="",="(0.018)",="(0.021)",="(0.017)",="(0.018)"
="1 child",="0.037*",="",="-0.015",=""
="",="(0.021)",="",="(0.016)",=""
="2 children",="0.060***",="",="-0.014",=""
="",="(0.019)",="",="(0.017)",=""
="3 children",="0.097***",="",="0.002",=""
="",="(0.032)",="",="(0.026)",=""
="4+ children",="0.007",="",="0.034",=""
="",="(0.045)",="",="(0.056)",=""
="Poor health",="-0.062***",="-0.077***",="-0.042***",="-0.063***"
="",="(0.018)",="(0.017)",="(0.014)",="(0.015)"
="Born - Eng speaking",="0.068**",="0.083***",="0.019",="0.022"
="",="(0.030)",="(0.029)",="(0.024)",="(0.028)"
="Born - Non-Eng speaking",="-0.096***",="-0.130***",="0.013",="0.018"
="",="(0.025)",="(0.025)",="(0.019)",="(0.023)"
="Married / De Facto",="0.083***",="0.104***",="0.038**",="0.029*"
="",="(0.022)",="(0.022)",="(0.016)",="(0.017)"
="Seperated / Widowed",="-0.003",="0.021",="-0.006",="-0.035"
="",="(0.034)",="(0.041)",="(0.025)",="(0.024)"
="Rural",="-0.048**",="-0.070**",="-0.000",="0.009"
="",="(0.023)",="(0.030)",="(0.024)",="(0.032)"
="VIC",="-0.013",="",="-0.067***",=""
="",="(0.021)",="",="(0.019)",=""
="WA",="0.099***",="",="-0.027",=""
="",="(0.030)",="",="(0.025)",=""
="QLD",="-0.004",="",="-0.099***",=""
="",="(0.025)",="",="(0.020)",=""
="SA",="-0.160***",="",="-0.089***",=""
="",="(0.027)",="",="(0.023)",=""
="NT",="0.115",="",="-0.032",=""
="",="(0.163)",="",="(0.073)",=""
="TAS",="-0.179***",="",="-0.122***",=""
="",="(0.040)",="",="(0.032)",=""
="ACT",="0.106*",="",="0.011",=""
="",="(0.054)",="",="(0.031)",=""
="Shiftwork",="0.182***",="",="0.108***",=""
="",="(0.021)",="",="(0.018)",=""
="Part Time",="0.026",="0.007",="0.045***",="0.030*"
="",="(0.032)",="(0.029)",="(0.015)",="(0.018)"
="41+ hours",="0.025",="",="-0.002",=""
="",="(0.015)",="",="(0.017)",=""
="Casual",="0.064**",="0.002",="0.094***",="0.056**"
="",="(0.026)",="(0.024)",="(0.021)",="(0.024)"
="Tenure",="0.003**",="0.002**",="0.001",="0.003***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="Wave=2",="-0.034",="-0.043**",="-0.022",="-0.050**"
="",="(0.027)",="(0.021)",="(0.030)",="(0.021)"
="Wave=3",="0.001",="0.003",="-0.006",="-0.013"
